的	EJIN	LR	EJIN	46527760	de
一	A	MIX	AMAA	14416017	yi
在	QMF	LR	QMFL	14168100	zai
在	QLF	LR	QLFL	14168100	zai
中	M	MIX	MMMM	13675718	zhong
中	L	MIX	LMLL	13675718	zhong
国	KAFN	LR	KAFN	13205478	guo
年	QW	LR	QWLW	12478902	nian
是	JAOQ	LR	JAOQ	11957374	shi
有	QT	LR	QTLT	11636606	you
业	GR	LR	GRLR	11334180	ye
人	Q	MIX	QMQQ	10612828	ren
为	NQCN	LR	NQCN	10222856	wei
为	NQPN	LR	NQPN	10222856	wei
为	NQHN	LR	NQHN	10222856	wei
大	Q	MIX	QMQQ	9791206	da
不	AU	LR	AULU	9723924	bu
行	EQAAX	MIX	EQAX	9655901	xing
了	XX	MIX	XXMX	9492527	le
上	OA	LR	OALA	9447291	shang
公	RN	ENC	RNEN	8890644	gong
发	VNEY	LR	VNEY	8581982	fa
和	EDH	UD	EDHU	8241375	he
和	EDC	UD	EDCU	8241375	he
市	OMT	LR	OMTL	8238018	shi
市	OLT	LR	OLTL	8238018	shi
资	NQTQ	LR	NQTQ	8026258	zi
金	R	MIX	RMRR	6999356	jin
对	YDN	UD	YDNU	6969929	dui
会	QAAN	LR	QAAN	6877142	hui
日	J	MIX	JMJJ	6867330	ri
出	LL	LR	LLLL	6526957	chu
出	MM	ENC	MMEM	6526957	chu
新	ODEAM	LR	ODEM	6409741	xin
以	VNQ	LR	VNQL	6409076	yi
月	T	MIX	TMTT	6405701	yue
来	DG	UD	DGUG	6369058	lai
个	QM	LR	QMLM	6311393	ge
个	QL	LR	QLLL	6311393	ge
经	VAXQA	MIX	VAXA	6233651	jing
产	OGE	LR	OGEL	6224491	chan
要	AKV	LR	AKVL	5902214	yao
司	CAH	ENC	CAHE	5835304	si
司	PAH	LR	PAHL	5835304	si
司	HAH	ENC	HAHE	5835304	si
时	JDN	LR	JDNL	5819585	shi
成	NEC	LR	NECL	5778180	cheng
成	NEP	LR	NEPL	5778180	cheng
成	NEH	LR	NEHL	5778180	cheng
到	AFMX	MIX	AFMX	5659954	dao
到	AFLX	MIX	AFLX	5659954	dao
元	AAL	UD	AALU	5650152	yuan
元	AAM	UD	AAMU	5650152	yuan
这	OOQ	LR	OOQL	5607745	zhe
家	SACQ	ENC	SACQ	5595914	jia
家	SAPQ	ENC	SAPQ	5595914	jia
家	SAHQ	ENC	SAHQ	5595914	jia
于	AD	UD	ADUD	5574981	yu
股	TEXY	MIX	TEXY	5557664	gu
方	OEC	LR	OECL	5526327	fang
方	OEP	LR	OEPL	5526327	fang
方	OEH	LR	OEHL	5526327	fang
能	NTII	LR	NTII	5414609	neng
现	AFTEL	UD	AFTL	5160624	xian
地	FID	LR	FIDL	5131555	de
下	AO	LR	AOLO	5102238	xia
作	QEC	LR	QECL	5067446	zuo
作	QEP	LR	QEPL	5067446	zuo
作	QEH	LR	QEHL	5067446	zuo
场	FXCE	MIX	FXCE	4977126	chang
场	FXPE	MIX	FXPE	4977126	chang
场	FXHE	MIX	FXHE	4977126	chang
进	OGG	LR	OGGL	4953664	jin
者	SQJ	ENC	SQJE	4896817	zhe
前	GTMX	MIX	GTMX	4792611	qian
前	GTLX	MIX	GTLX	4792611	qian
生	EWA	LR	EWAL	4784500	sheng
分	RCE	ENC	RCEE	4736229	fen
分	RPE	ENC	RPEE	4736229	fen
分	RHE	ENC	RHEE	4736229	fen
多	XNXN	MIX	XNXN	4703188	duo
长	MEAQ	ENC	MEAQ	4630586	zhang
长	LEAQ	LR	LEAQ	4630586	zhang
理	AFKF	UD	AFKF	4591691	li
高	OHTH	LR	OHTH	4538118	gao
高	OCTH	LR	OCTH	4538118	gao
全	QAF	LR	QAFL	4513431	quan
同	TAH	UD	TAHU	4508828	tong
同	TAC	UD	TACU	4508828	tong
实	SOQ	ENC	SOQE	4498651	shi
用	TW	LR	TWLW	4468365	yong
过	ODN	LR	ODNL	4442932	guo
务	EYQC	UD	EYQC	4370047	wu
合	QAH	LR	QAHL	4346152	he
合	QAC	LR	QACL	4346152	he
动	ANQC	LR	ANQC	4339028	dong
